make,fuel-type,body-style,drive-wheels,curb-weight,engine-type,num-of-cylinders,num-of-cylinders-numerical,engine-size,horsepower,city-mpg,highway-mpg,price
alfa-romero,gas,convertible,rwd,2548,dohc,four,4,130,111.0,21,27,13495.0
alfa-romero,gas,convertible,rwd,2548,dohc,four,4,130,111.0,21,27,16500.0
alfa-romero,gas,hatchback,rwd,2823,ohcv,six,6,152,154.0,19,26,16500.0
audi,gas,sedan,fwd,2337,ohc,four,4,109,102.0,24,30,13950.0
audi,gas,sedan,4wd,2824,ohc,five,5,136,115.0,18,22,17450.0
audi,gas,sedan,fwd,2507,ohc,five,5,136,110.0,19,25,15250.0
audi,gas,sedan,fwd,2844,ohc,five,5,136,110.0,19,25,17710.0
audi,gas,wagon,fwd,2954,ohc,five,5,136,110.0,19,25,18920.0
audi,gas,sedan,fwd,3086,ohc,five,5,131,140.0,17,20,23875.0
audi,gas,hatchback,4wd,3053,ohc,five,5,131,160.0,16,22,
bmw,gas,sedan,rwd,2395,ohc,four,4,108,101.0,23,29,16430.0
bmw,gas,sedan,rwd,2395,ohc,four,4,108,101.0,23,29,16925.0
bmw,gas,sedan,rwd,2710,ohc,six,6,164,121.0,21,28,20970.0
bmw,gas,sedan,rwd,2765,ohc,six,6,164,121.0,21,28,21105.0
bmw,gas,sedan,rwd,3055,ohc,six,6,164,121.0,20,25,24565.0
bmw,gas,sedan,rwd,3230,ohc,six,6,209,182.0,16,22,30760.0
bmw,gas,sedan,rwd,3380,ohc,six,6,209,182.0,16,22,41315.0
bmw,gas,sedan,rwd,3505,ohc,six,6,209,182.0,15,20,36880.0
chevrolet,gas,hatchback,fwd,1488,l,three,3,61,48.0,47,53,5151.0
chevrolet,gas,hatchback,fwd,1874,ohc,four,4,90,70.0,38,43,6295.0
chevrolet,gas,sedan,fwd,1909,ohc,four,4,90,70.0,38,43,6575.0
dodge,gas,hatchback,fwd,1876,ohc,four,4,90,68.0,37,41,5572.0
dodge,gas,hatchback,fwd,1876,ohc,four,4,90,68.0,31,38,6377.0
dodge,gas,hatchback,fwd,2128,ohc,four,4,98,102.0,24,30,7957.0
dodge,gas,hatchback,fwd,1967,ohc,four,4,90,68.0,31,38,6229.0
dodge,gas,sedan,fwd,1989,ohc,four,4,90,68.0,31,38,6692.0
dodge,gas,sedan,fwd,1989,ohc,four,4,90,68.0,31,38,7609.0
dodge,gas,sedan,fwd,2191,ohc,four,4,98,102.0,24,30,8558.0
dodge,gas,wagon,fwd,2535,ohc,four,4,122,88.0,24,30,8921.0
dodge,gas,hatchback,fwd,2811,ohc,four,4,156,145.0,19,24,12964.0
honda,gas,hatchback,fwd,1713,ohc,four,4,92,58.0,49,54,6479.0
honda,gas,hatchback,fwd,1819,ohc,four,4,92,76.0,31,38,6855.0
honda,gas,hatchback,fwd,1837,ohc,four,4,79,60.0,38,42,5399.0
honda,gas,hatchback,fwd,1940,ohc,four,4,92,76.0,30,34,6529.0
honda,gas,hatchback,fwd,1956,ohc,four,4,92,76.0,30,34,7129.0
