make,fuel-type,body-style,drive-wheels,curb-weight,engine-type,num-of-cylinders,cylinders,engine-size,horsepower,city-mpg,highway-mpg,price
alfa-romero,gas,convertible,rwd,2548.0,dohc,four,4.0,130.0,111.0,21.0,27.0,13495.0
alfa-romero,gas,convertible,rwd,2548.0,dohc,four,4.0,130.0,111.0,21.0,27.0,16500.0
alfa-romero,gas,hatchback,rwd,2823.0,ohcv,six,6.0,152.0,154.0,19.0,26.0,16500.0
audi,gas,sedan,fwd,2337.0,ohc,four,4.0,109.0,102.0,24.0,30.0,13950.0
audi,gas,sedan,4wd,2824.0,ohc,five,5.0,136.0,115.0,18.0,22.0,17450.0
audi,gas,sedan,fwd,2507.0,ohc,five,5.0,136.0,110.0,19.0,25.0,15250.0
audi,gas,sedan,fwd,2844.0,ohc,five,5.0,136.0,110.0,19.0,25.0,17710.0
audi,gas,wagon,fwd,2954.0,ohc,five,5.0,136.0,110.0,19.0,25.0,18920.0
audi,gas,sedan,fwd,3086.0,ohc,five,5.0,131.0,140.0,17.0,20.0,23875.0
bmw,gas,sedan,rwd,2395.0,ohc,four,4.0,108.0,101.0,23.0,29.0,16430.0
bmw,gas,sedan,rwd,2395.0,ohc,four,4.0,108.0,101.0,23.0,29.0,16925.0
bmw,gas,sedan,rwd,2710.0,ohc,six,6.0,164.0,121.0,21.0,28.0,20970.0
bmw,gas,sedan,rwd,2765.0,ohc,six,6.0,164.0,121.0,21.0,28.0,21105.0
bmw,gas,sedan,rwd,3055.0,ohc,six,6.0,164.0,121.0,20.0,25.0,24565.0
bmw,gas,sedan,rwd,3230.0,ohc,six,6.0,209.0,182.0,16.0,22.0,30760.0
bmw,gas,sedan,rwd,3380.0,ohc,six,6.0,209.0,182.0,16.0,22.0,41315.0
bmw,gas,sedan,rwd,3505.0,ohc,six,6.0,209.0,182.0,15.0,20.0,36880.0
chevrolet,gas,hatchback,fwd,1488.0,l,three,3.0,61.0,48.0,47.0,53.0,5151.0
chevrolet,gas,hatchback,fwd,1874.0,ohc,four,4.0,90.0,70.0,38.0,43.0,6295.0
chevrolet,gas,sedan,fwd,1909.0,ohc,four,4.0,90.0,70.0,38.0,43.0,6575.0
dodge,gas,hatchback,fwd,1876.0,ohc,four,4.0,90.0,68.0,37.0,41.0,5572.0
dodge,gas,hatchback,fwd,1876.0,ohc,four,4.0,90.0,68.0,31.0,38.0,6377.0
dodge,gas,hatchback,fwd,2128.0,ohc,four,4.0,98.0,102.0,24.0,30.0,7957.0
